0 1 2
2 3 0
4 3 2
2 5 4
1 6 7
7 2 1
5 2 7
7 8 5
6 9 10
10 7 6
8 7 10
10 11 8
9 12 13
13 10 9
11 10 13
13 14 11
12 15 16
16 13 12
14 13 16
16 17 14
15 18 19
19 16 15
17 16 19
19 20 17
18 21 22
22 19 18
20 19 22
22 23 20
24 25 26
26 27 24
21 27 26
26 22 21
23 22 26
26 25 23
28 4 5
5 29 28
29 5 8
8 30 29
30 8 11
11 31 30
31 11 14
14 32 31
32 14 17
17 33 32
33 17 20
20 34 33
34 20 23
23 35 34
36 37 25
25 24 36
35 23 25
25 37 35
38 28 29
29 39 38
39 29 30
30 40 39
40 30 31
31 41 40
41 31 32
32 42 41
42 32 33
33 43 42
43 33 34
34 44 43
44 34 35
35 45 44
46 47 37
37 36 46
45 35 37
37 47 45
48 38 39
39 49 48
49 39 40
40 50 49
50 40 41
41 51 50
51 41 42
42 52 51
52 42 43
43 53 52
53 43 44
44 54 53
54 44 45
45 55 54
56 57 47
47 46 56
55 45 47
47 57 55
58 48 49
49 59 58
59 49 50
50 60 59
60 50 51
51 61 60
61 51 52
52 62 61
62 52 53
53 63 62
63 53 54
54 64 63
64 54 55
55 65 64
66 67 57
57 56 66
65 55 57
57 67 65
68 58 59
59 69 68
69 59 60
60 70 69
70 60 61
61 71 70
71 61 62
62 72 71
72 62 63
63 73 72
73 63 64
64 74 73
74 64 65
65 75 74
76 77 67
67 66 76
75 65 67
67 77 75
78 68 69
69 79 78
79 69 70
70 80 79
80 70 71
71 81 80
81 71 72
72 82 81
82 72 73
73 83 82
83 73 74
74 84 83
84 74 75
75 85 84
86 87 77
77 76 86
85 75 77
77 87 85
88 78 79
79 89 88
89 79 80
80 90 89
90 80 81
81 91 90
91 81 82
82 92 91
92 82 83
83 93 92
93 83 84
84 94 93
94 84 85
85 95 94
96 97 87
87 86 96
95 85 87
87 97 95
98 88 89
89 99 98
99 89 90
90 100 99
100 90 91
91 101 100
101 91 92
92 102 101
102 92 93
93 103 102
103 93 94
94 104 103
104 94 95
95 105 104
106 107 97
97 96 106
105 95 97
97 107 105
108 98 99
99 109 108
109 99 100
100 110 109
110 100 101
101 111 110
111 101 102
102 112 111
112 102 103
103 113 112
113 103 104
104 114 113
114 104 105
105 115 114
116 117 107
107 106 116
115 105 107
107 117 115
118 108 109
109 119 118
119 109 110
110 120 119
120 110 111
111 121 120
121 111 112
112 122 121
122 112 113
113 123 122
123 113 114
114 124 123
124 114 115
115 125 124
126 127 117
117 116 126
125 115 117
117 127 125
128 118 119
119 129 128
129 119 120
120 130 129
130 120 121
121 131 130
131 121 122
122 132 131
132 122 123
123 133 132
133 123 124
124 134 133
134 124 125
125 135 134
136 137 127
127 126 136
135 125 127
127 137 135
138 128 129
129 139 138
139 129 130
130 140 139
140 130 131
131 141 140
141 131 132
132 142 141
142 132 133
133 143 142
143 133 134
134 144 143
144 134 135
135 145 144
146 147 137
137 136 146
145 135 137
137 147 145
148 138 139
139 149 148
149 139 140
140 150 149
150 140 141
141 151 150
151 141 142
142 152 151
152 142 143
143 153 152
153 143 144
144 154 153
154 144 145
145 155 154
156 157 147
147 146 156
155 145 147
147 157 155
158 148 149
149 159 158
159 149 150
150 160 159
160 150 151
151 161 160
161 151 152
152 162 161
162 152 153
153 163 162
163 153 154
154 164 163
164 154 155
155 165 164
166 167 157
157 156 166
165 155 157
157 167 165
168 158 159
159 169 168
169 159 160
160 170 169
170 160 161
161 171 170
171 161 162
162 172 171
172 162 163
163 173 172
173 163 164
164 174 173
174 164 165
165 175 174
176 177 167
167 166 176
175 165 167
167 177 175
178 179 1
1 0 178
179 180 6
6 1 179
180 181 9
9 6 180
181 182 12
12 9 181
182 183 15
15 12 182
183 184 18
18 15 183
184 185 21
21 18 184
186 24 27
27 187 186
185 187 27
27 21 185
188 36 24
24 186 188
189 46 36
36 188 189
190 56 46
46 189 190
191 66 56
56 190 191
192 76 66
66 191 192
193 86 76
76 192 193
194 96 86
86 193 194
195 106 96
96 194 195
196 116 106
106 195 196
197 126 116
116 196 197
198 136 126
126 197 198
199 146 136
136 198 199
200 156 146
146 199 200
201 166 156
156 200 201
202 176 166
166 201 202
203 204 179
179 178 203
204 205 180
180 179 204
205 206 181
181 180 205
206 207 182
182 181 206
207 208 183
183 182 207
208 209 184
184 183 208
209 210 185
185 184 209
211 186 187
187 212 211
210 212 187
187 185 210
213 188 186
186 211 213
214 189 188
188 213 214
215 190 189
189 214 215
216 191 190
190 215 216
217 192 191
191 216 217
218 193 192
192 217 218
219 194 193
193 218 219
220 195 194
194 219 220
221 196 195
195 220 221
222 197 196
196 221 222
223 198 197
197 222 223
224 199 198
198 223 224
225 200 199
199 224 225
226 201 200
200 225 226
227 202 201
201 226 227
228 229 204
204 203 228
229 230 205
205 204 229
230 231 206
206 205 230
231 232 207
207 206 231
232 233 208
208 207 232
233 234 209
209 208 233
234 235 210
210 209 234
236 211 212
212 237 236
235 237 212
212 210 235
238 213 211
211 236 238
239 214 213
213 238 239
240 215 214
214 239 240
241 216 215
215 240 241
242 217 216
216 241 242
243 218 217
217 242 243
244 219 218
218 243 244
245 220 219
219 244 245
246 221 220
220 245 246
247 222 221
221 246 247
248 223 222
222 247 248
249 224 223
223 248 249
250 225 224
224 249 250
251 226 225
225 250 251
252 227 226
226 251 252
253 254 229
229 228 253
254 255 230
230 229 254
255 256 231
231 230 255
256 257 232
232 231 256
257 258 233
233 232 257
258 259 234
234 233 258
259 260 235
235 234 259
261 236 237
237 262 261
260 262 237
237 235 260
263 238 236
236 261 263
264 239 238
238 263 264
265 240 239
239 264 265
266 241 240
240 265 266
267 242 241
241 266 267
268 243 242
242 267 268
269 244 243
243 268 269
270 245 244
244 269 270
271 246 245
245 270 271
272 247 246
246 271 272
273 248 247
247 272 273
274 249 248
248 273 274
275 250 249
249 274 275
276 251 250
250 275 276
277 252 251
251 276 277
278 279 254
254 253 278
279 280 255
255 254 279
280 281 256
256 255 280
281 282 257
257 256 281
282 283 258
258 257 282
283 284 259
259 258 283
284 285 260
260 259 284
286 261 262
262 287 286
285 287 262
262 260 285
288 263 261
261 286 288
289 264 263
263 288 289
290 265 264
264 289 290
291 266 265
265 290 291
292 267 266
266 291 292
293 268 267
267 292 293
294 269 268
268 293 294
295 270 269
269 294 295
296 271 270
270 295 296
297 272 271
271 296 297
298 273 272
272 297 298
299 274 273
273 298 299
300 275 274
274 299 300
301 276 275
275 300 301
302 277 276
276 301 302
303 304 279
279 278 303
304 305 280
280 279 304
305 306 281
281 280 305
306 307 282
282 281 306
307 308 283
283 282 307
308 309 284
284 283 308
309 310 285
285 284 309
311 286 287
287 312 311
310 312 287
287 285 310
313 288 286
286 311 313
314 289 288
288 313 314
315 290 289
289 314 315
316 291 290
290 315 316
317 292 291
291 316 317
318 293 292
292 317 318
319 294 293
293 318 319
320 295 294
294 319 320
321 296 295
295 320 321
322 297 296
296 321 322
323 298 297
297 322 323
324 299 298
298 323 324
325 300 299
299 324 325
326 301 300
300 325 326
327 302 301
301 326 327
328 329 304
304 303 328
329 330 305
305 304 329
330 331 306
306 305 330
331 332 307
307 306 331
332 333 308
308 307 332
333 334 309
309 308 333
334 335 310
310 309 334
336 311 312
312 337 336
335 337 312
312 310 335
338 313 311
311 336 338
339 314 313
313 338 339
340 315 314
314 339 340
341 316 315
315 340 341
342 317 316
316 341 342
343 318 317
317 342 343
344 319 318
318 343 344
345 320 319
319 344 345
346 321 320
320 345 346
347 322 321
321 346 347
348 323 322
322 347 348
349 324 323
323 348 349
350 325 324
324 349 350
351 326 325
325 350 351
352 327 326
326 351 352
353 354 329
329 328 353
354 355 330
330 329 354
355 356 331
331 330 355
356 357 332
332 331 356
357 358 333
333 332 357
358 359 334
334 333 358
359 360 335
335 334 359
361 336 337
337 362 361
360 362 337
337 335 360
363 338 336
336 361 363
364 339 338
338 363 364
365 340 339
339 364 365
366 341 340
340 365 366
367 342 341
341 366 367
368 343 342
342 367 368
369 344 343
343 368 369
370 345 344
344 369 370
371 346 345
345 370 371
372 347 346
346 371 372
373 348 347
347 372 373
374 349 348
348 373 374
375 350 349
349 374 375
376 351 350
350 375 376
377 352 351
351 376 377
378 379 354
354 353 378
379 380 355
355 354 379
380 381 356
356 355 380
381 382 357
357 356 381
382 383 358
358 357 382
383 384 359
359 358 383
384 385 360
360 359 384
386 361 362
362 387 386
385 387 362
362 360 385
388 363 361
361 386 388
389 364 363
363 388 389
390 365 364
364 389 390
391 366 365
365 390 391
392 367 366
366 391 392
393 368 367
367 392 393
394 369 368
368 393 394
395 370 369
369 394 395
396 371 370
370 395 396
397 372 371
371 396 397
398 373 372
372 397 398
399 374 373
373 398 399
400 375 374
374 399 400
401 376 375
375 400 401
402 377 376
376 401 402
403 404 379
379 378 403
404 405 380
380 379 404
405 406 381
381 380 405
406 407 382
382 381 406
407 408 383
383 382 407
408 409 384
384 383 408
409 410 385
385 384 409
411 386 387
387 412 411
410 412 387
387 385 410
413 388 386
386 411 413
414 389 388
388 413 414
415 390 389
389 414 415
416 391 390
390 415 416
417 392 391
391 416 417
418 393 392
392 417 418
419 394 393
393 418 419
420 395 394
394 419 420
421 396 395
395 420 421
422 397 396
396 421 422
423 398 397
397 422 423
424 399 398
398 423 424
425 400 399
399 424 425
426 401 400
400 425 426
427 402 401
401 426 427
428 429 404
404 403 428
429 430 405
405 404 429
430 431 406
406 405 430
431 432 407
407 406 431
432 433 408
408 407 432
433 434 409
409 408 433
434 435 410
410 409 434
436 411 412
412 437 436
435 437 412
412 410 435
438 413 411
411 436 438
439 414 413
413 438 439
440 415 414
414 439 440
441 416 415
415 440 441
442 417 416
416 441 442
443 418 417
417 442 443
444 419 418
418 443 444
445 420 419
419 444 445
446 421 420
420 445 446
447 422 421
421 446 447
448 423 422
422 447 448
449 424 423
423 448 449
450 425 424
424 449 450
451 426 425
425 450 451
452 427 426
426 451 452
453 454 429
429 428 453
454 455 430
430 429 454
455 456 431
431 430 455
456 457 432
432 431 456
457 458 433
433 432 457
458 459 434
434 433 458
459 460 435
435 434 459
461 436 437
437 462 461
460 462 437
437 435 460
463 438 436
436 461 463
464 439 438
438 463 464
465 440 439
439 464 465
466 441 440
440 465 466
467 442 441
441 466 467
468 443 442
442 467 468
469 444 443
443 468 469
470 445 444
444 469 470
471 446 445
445 470 471
472 447 446
446 471 472
473 448 447
447 472 473
474 449 448
448 473 474
475 450 449
449 474 475
476 451 450
450 475 476
477 452 451
451 476 477
478 479 454
454 453 478
479 480 455
455 454 479
480 481 456
456 455 480
481 482 457
457 456 481
482 483 458
458 457 482
483 484 459
459 458 483
484 485 460
460 459 484
486 461 462
462 487 486
485 487 462
462 460 485
488 463 461
461 486 488
489 464 463
463 488 489
490 465 464
464 489 490
491 466 465
465 490 491
492 467 466
466 491 492
493 468 467
467 492 493
494 469 468
468 493 494
495 470 469
469 494 495
496 471 470
470 495 496
497 472 471
471 496 497
498 473 472
472 497 498
499 474 473
473 498 499
500 475 474
474 499 500
501 476 475
475 500 501
502 477 476
